Counties,State,Oats,Soybeans,Wheat,Corn
Adair,Iowa,58045,3999060,20229,15201080
Clermont,Ohio,,1242774,33144,2466614
Clinton,Illinois,6085,3083686,2319616,12548693
Clinton,Indiana,,4583863,181422,25560313
Clinton,Missouri,,1815092,126065,5078898
Clinton,Ohio,7722,4220204,229775,13352185
Coles,Illinois,7267,4850980,103933,22615946
Cooper,Missouri,490,1852294,1086374,6688391
Crawford,Illinois,,2892248,483197,12285231
Crawford,Missouri,,7928,,3802
Clay,Missouri,,846579,83408,1754060
Crawford,Ohio,6222,4379721,1418021,12706198
Dade,Missouri,,665773,543098,1598688
DeKalb,Indiana,7959,2189511,399835,6971934
Dearborn,Indiana,,211952,15174,1163838
Decatur,Indiana,,2645486,251719,13823926
Defiance,Ohio,13620,4313266,715960,8095458
Delaware,Indiana,,2723753,105304,9265656
Dent,Missouri,,,,9900
DesMoines,Iowa,5926,2819511,88031,15546801
Dubois,Indiana,1840,1454425,230139,9338696
Cumberland,Illinois,,2236736,206910,9909876
Dunklin,Missouri,,2421291,863026,4592828
Clay,Indiana,,2467153,62637,11216986
Clark,Indiana,,592494,130231,2362509
Benton,Missouri,,512102,271510,961169
Berrien,Michigan,3396,1664741,184103,6237095
Blackford,Indiana,21414,1848876,107031,4496921
Bollinger,Missouri,,422435,131497,1861813
Boone,Indiana,,4025789,169835,17549798
Boone,Missouri,,1330077,589222,2978389
Brown,Illinois,3622,984118,167527,7998358
Brown,Indiana,,28731,,277313
Brown,Ohio,,3084210,59712,4847919
Clark,Ohio,,3072170,229262,11762023
Butler,Missouri,,3614533,702754,4229023
Callaway,Missouri,6250,1507920,450821,2882444
Carroll,Missouri,13101,4822651,586422,7921834
Cass,Illinois,,1842138,152346,15727802
Cass,Indiana,,3689358,98185,20222837
Cass,Missouri,,2053644,508708,4466294
Champaign,Ohio,4120,3720525,402971,14033503
Chariton,Missouri,,4133993,861884,8833578
Christian,Missouri,,1567,,21562
Clark,Illinois,,3759359,259396,16926305
Calhoun,Illinois,,378459,103340,3407926
Dupage,Illinois,,74294,,659631
Edgar,Illinois,27850,6973902,127175,34170805
Edwards,Illinois,4800,1298765,277791,4962604
Hamilton,Illinois,,2163667,796836,8936535
Hamilton,Indiana,,2449146,85108,8555031
Hamilton,Ohio,,50366,7360,442348
Hancock,Illinois,3254,5421196,637827,30000328
Hancock,Indiana,3400,3296751,291555,11361190
Hardin,Illinois,,89552,,431950
Harrison,Indiana,1700,790196,143210,3409418
Harrison,Iowa,2775,5756253,17578,23914883
Henderson,Illinois,,1973600,150586,16520806
Grundy,Illinois,3502,3467211,68288,23193404
Hendricks,Indiana,,3131709,364416,11872601
Henry,Ohio,4855,4587202,2182477,11808181
Hickory,Missouri,,33444,,
Hocking,Ohio,,82667,12137,358089
Holt,Missouri,10090,3670898,101885,14462485
Howard,Indiana,16440,3294548,144703,12351586
Huntington,Indiana,3160,3693225,317441,12020408
Iron,Missouri,,,,
Iron,Wisconsin,,,,
Jackson,Missouri,,1680682,468956,2969552
Henry,Iowa,33653,3242067,,15474543
Greene,Ohio,,2963318,216241,9744602
Greene,Missouri,,12996,22430,35215
Greene,Indiana,1600,1447510,78576,7550290
Effingham,Illinois,,2951819,858155,12445120
Erie,Ohio,15740,1416501,461431,4340704
Fairfield,Ohio,14701,2621870,524385,8274489
Fayette,Illinois,,3148215,1168653,14692833
Fayette,Indiana,,1148428,82256,4569943
Fayette,Ohio,1890,4383127,345824,13273149
Floyd,Indiana,,106769,11262,428030
Fountain,Indiana,,3225130,165653,13777769
Franklin,Illinois,,2214406,639308,7082452
Franklin,Indiana,,924826,95977,4382219
Franklin,Ohio,,1147335,120153,2682537
Fremont,Iowa,,4512167,40635,14739597
Fulton,Illinois,12903,4102752,205048,27964735
Fulton,Indiana,,2690582,100402,13783115
Fulton,Ohio,,3028515,1086739,12174621
Gallatin,Illinois,,2260222,415696,14474583
