Counties,State,Oats,Soybeans,Wheat,Corn
Adair,Iowa,158976,3549376,,11156196
Clermont,Ohio,,897521,63789,1393020
Clinton,Illinois,9555,2959629,2270966,6862367
Clinton,Indiana,8612,4786159,295061,13789526
Clinton,Missouri,5768,1506966,110135,3412276
Clinton,Ohio,,4427524,450234,10388129
Coles,Illinois,12258,4650401,162322,15059917
Cooper,Missouri,22855,2055726,1303716,3359699
Crawford,Illinois,5294,3160145,755161,7968721
Crawford,Missouri,,,25850,172809
Clay,Missouri,,998785,198640,1093526
Crawford,Ohio,40325,4032809,1743271,9570767
Dade,Missouri,9294,563941,718419,331663
DeKalb,Indiana,20801,1993401,608068,4323726
Dearborn,Indiana,3364,215263,45290,635317
Decatur,Indiana,12150,3032614,502531,10504747
Defiance,Ohio,50543,3084856,1202710,4642148
Delaware,Indiana,21723,3327358,242051,7271994
Dent,Missouri,,,9885,34199
DesMoines,Iowa,32037,3241994,34516,9606586
Dubois,Indiana,,1537767,418234,5467590
Cumberland,Illinois,,2458841,328587,8226288
Dunklin,Missouri,,2543306,1151860,2311637
Clay,Indiana,1364,2063979,210414,7104562
Clark,Indiana,1450,944921,249207,1552040
Benton,Missouri,2594,522163,294793,468200
Berrien,Michigan,12330,1621233,248756,5112663
Blackford,Indiana,4500,1551883,161794,3391371
Bollinger,Missouri,2102,558008,211100,1267635
Boone,Indiana,,4310493,258229,11709319
Boone,Missouri,6082,1353335,664853,1454227
Brown,Illinois,9122,1387150,277960,4617725
Brown,Indiana,,45280,,192449
Brown,Ohio,6680,1807650,109115,2804955
Clark,Ohio,8597,3066548,433173,9106083
Butler,Missouri,,3296200,825124,2522859
Callaway,Missouri,13525,1949927,661088,2036380
Carroll,Missouri,33180,4232241,1607826,6700238
Cass,Illinois,12902,2454427,298521,8852020
Cass,Indiana,18129,3451256,298240,11579304
Cass,Missouri,34735,2279808,474335,2185920
Champaign,Ohio,17202,3978151,511545,11510871
Chariton,Missouri,4458,4297936,1470639,6658276
Christian,Missouri,1905,,22409,36075
Clark,Illinois,7000,3790770,613982,11829936
Calhoun,Illinois,,724631,205849,2195369
Dupage,Illinois,4990,231896,17484,842139
Edgar,Illinois,27289,6047205,181559,19651789
Edwards,Illinois,,1486053,445719,3583455
Hamilton,Illinois,,2585520,898567,5817352
Hamilton,Indiana,2760,2697706,237548,7385800
Hamilton,Ohio,,221923,32935,392247
Hancock,Illinois,47201,6952560,508362,20530759
Hancock,Indiana,16120,3331396,273306,9019955
Hardin,Illinois,,75431,7190,152182
Harrison,Indiana,4768,662680,244862,1244059
Harrison,Iowa,31354,6383926,16546,20153771
Henderson,Illinois,50039,2656985,61473,12938837
Grundy,Illinois,36181,3723061,24615,12300097
Hendricks,Indiana,8210,2842916,288983,8260271
Henry,Ohio,8563,4424315,2524283,11192187
Hickory,Missouri,890,50705,6025,18795
Hocking,Ohio,2138,62936,18405,388711
Holt,Missouri,7776,3757101,61042,10035039
Howard,Indiana,20853,3246820,183197,9285055
Huntington,Indiana,31702,3415160,479626,8373665
Iron,Missouri,,,,
Iron,Wisconsin,9000,,,
Jackson,Missouri,,1704939,555146,1574050
Henry,Iowa,74548,3430438,31766,11417437
Greene,Ohio,27121,3091931,421891,8904487
Greene,Missouri,3610,31712,148697,87237
Greene,Indiana,6265,1562354,140817,4691629
Effingham,Illinois,6964,3563801,1186200,8823685
Erie,Ohio,51942,1397077,440573,3499313
Fairfield,Ohio,55246,2125872,704384,8764912
Fayette,Illinois,20642,4033253,1914796,9976538
Fayette,Indiana,6560,1263756,233401,3930834
Fayette,Ohio,23376,5114129,822718,12325789
Floyd,Indiana,,124978,21467,286452
Fountain,Indiana,19588,2914686,174664,8573059
Franklin,Illinois,,2182567,678544,3438962
Franklin,Indiana,11387,895456,203472,3515751
Franklin,Ohio,3788,1210814,322743,2990012
Fremont,Iowa,6224,5171079,12973,15294828
Fulton,Illinois,56785,5314095,331790,18235346
Fulton,Indiana,9562,2478804,139613,9031943
Fulton,Ohio,27362,3432218,1023794,10648212
Gallatin,Illinois,,2819990,753888,7670195
Gallia,Ohio,,85223,5501,350173
Gasconade,Missouri,1872,275709,125032,673174
Gibson,Indiana,,3299180,1668914,10624536
Grant,Indiana,17605,4313518,238570,9779411
Grant,Minnesota,17851,3769741,2846820,5938834
Benton,Indiana,18662,5373570,121581,15979660
Jackson,Ohio,,57069,24656,518318
Bates,Missouri,17550,2847686,1617070,3222606
Bartholomew,Indiana,,2503476,398262,7773454
Stoddard,Missouri,1320,5103297,2741720,16340138
Story,Iowa,60700,6810676,,22562402
Summit,Ohio,21338,38207,20551,157012
Sutter,California,,,1574694,1115228
Swift,Minnesota,83271,5324417,403070,18112846
Tama,Iowa,167376,6371651,,20736469
Taney,Missouri,,8660,19470,
Taylor,Iowa,73805,2767013,19209,6327068
Taylor,Wisconsin,294337,59125,,1842645
Stephenson,Illinois,372951,2935746,70146,19481144
Tazewell,Illinois,47928,5866957,241021,20013819
Todd,Minnesota,616309,507502,129009,6483224
Trempealeau,Wisconsin,253773,652844,,7956946
Trumbull,Ohio,185362,760338,149613,1835607
Tulare,California,52015,,2047403,4250593
Tuscarawas,Ohio,98765,279869,100412,1875157
Tuscola,Michigan,88514,2170010,1132738,9611770
Union,Iowa,171502,1738581,5680,4769330
VanBuren,Iowa,72153,2062919,8088,5615262
VanWert,Ohio,63830,4937017,1320650,11137204
Texas,Missouri,6590,,8401,29528
Vermilion,Illinois,56937,9525688,284788,27950217
Steele,Minnesota,176420,3401288,23387,13761406
Stark,Ohio,236760,789127,327387,3356161
Sawyer,Wisconsin,41305,,,441406
Schoolcraft,Michigan,26988,,,21740
Schuyler,Missouri,7830,644697,34416,820843
Scotland,Missouri,20240,1805082,184698,4032360
Scott,Iowa,135751,3728045,7689,16303434
Scott,Minnesota,123014,1224824,66011,4951867
Seneca,Ohio,148869,4705580,2474486,9823046
Shawano,Wisconsin,573216,257167,57912,4932894
Sheboygan,Wisconsin,478828,653936,599643,3845658
Stearns,Minnesota,1324378,2475137,162366,19100931
Shelby,Indiana,8000,3580535,369191,11248786
Shelby,Missouri,20321,3228104,967498,4149641
Shelby,Ohio,99055,3381645,997133,7929495
Sherburne,Minnesota,22423,522758,9087,3286101
Shiawassee,Michigan,104346,2723692,1258481,5023859
Sibley,Minnesota,162793,4638658,152984,15525688
Sioux,Iowa,190672,8902457,17243,30278466
Siskiyou,California,151594,,324537,
Sonoma,California,43266,,,
Stanislaus,California,99786,,76790,296692
Shelby,Iowa,163992,5941332,4780,19505889
Vernon,Missouri,11570,2232884,1150246,2621920
Vernon,Wisconsin,341182,304511,3150,5203159
Wabasha,Minnesota,391490,1393788,28049,9797360
Williams,Ohio,38636,2785262,1087719,5697342
Winnebago,Illinois,105531,2484030,222564,11967327
Winnebago,Iowa,91816,4018152,,17658385
Winnebago,Wisconsin,179042,1124126,276717,4507584
Winneshiek,Iowa,573709,2150474,,16210314
Winona,Minnesota,419609,945280,4085,9685707
Wood,Wisconsin,236498,202605,8800,3196524
Woodbury,Iowa,116600,6687367,11210,22263495
Woodford,Illinois,57182,6039048,107063,18238154
Will,Illinois,132243,4643830,488610,17218691
Worth,Iowa,92860,4002364,,14794429
Wright,Missouri,,,6831,2756
YellowMedicine,Minnesota,32971,6163215,444565,18964435
Yolo,California,,,3976196,7303843
Adams,Ohio,9699,296409,101515,1057096
Alexander,Illinois,,1312235,247677,1106507
Allen,Ohio,27320,3369354,1194404,8034904
Ashland,Wisconsin,41271,,,19579
Atchison,Missouri,10296,4394954,32448,12842133
Athens,Ohio,,48295,21301,208645
Wright,Minnesota,167923,2289091,90588,8678763
Wilkin,Minnesota,61300,4581438,6768471,4155235
Whiteside,Illinois,180565,5326545,108796,28238755
Wexford,Michigan,18416,,2574,227592
Wadena,Minnesota,279478,29164,16567,2133448
Walworth,Wisconsin,122683,2253496,277233,11020671
Wapello,Iowa,97758,2389575,8940,6540580
Warren,Illinois,97448,5674530,35974,19834715
Warren,Iowa,74898,3099515,2334,9499440
Waseca,Minnesota,79798,3837064,21641,14978656
Washburn,Wisconsin,34458,17721,62990,919772
Washington,Illinois,15400,4426767,3659528,7824286
Washington,Iowa,182591,4900465,41709,15916853
Washington,Minnesota,58901,576208,,3173741
Washington,Ohio,14070,207704,71434,1270401
Washington,Wisconsin,343986,638149,265056,3561699
Washtenaw,Michigan,123129,1443128,985111,5128920
Watonwan,Minnesota,42639,4775639,15347,16077692
Waukesha,Wisconsin,110561,952753,95867,4155815
Waupaca,Wisconsin,312603,339714,40508,6291877
Waushara,Wisconsin,88168,389039,36154,3147749
Wayne,Iowa,68513,1892568,37588,4549551
Wayne,Ohio,589999,1473822,480064,7132016
Webster,Iowa,88045,8681554,,27013625
Webster,Missouri,36503,2302,24993,20513
Barton,Missouri,32540,2489538,2202076,1876317
Sauk,Wisconsin,272536,812798,56958,8654565
Jasper,Illinois,8782,4396693,831952,10295023
Jefferson,Illinois,1355,2584948,787007,3407853
Union,Indiana,6295,1161628,149128,4546245
Union,Ohio,28979,3779958,1036310,6088900
VanBuren,Michigan,46872,848726,134957,3274855
Vanderburgh,Indiana,,1098456,382285,3383887
Vermillion,Indiana,4880,1583315,97053,5079915
Vigo,Indiana,,1503385,181181,4343690
Vinton,Ohio,,21773,2955,145826
Wabash,Illinois,,2023286,575394,5247922
Wabash,Indiana,19386,2845222,495706,9015085
Union,Illinois,1760,863912,162472,973907
Warren,Indiana,28983,3025487,195296,8289012
Warren,Ohio,,1528711,291019,3622909
Warrick,Indiana,,1272849,256682,3483532
Washington,Indiana,3080,1036207,159543,2979817
Washington,Missouri,,14695,,12860
Wayne,Illinois,12400,4114079,939523,7714736
Wayne,Indiana,47235,2373298,355945,6790247
Wayne,Michigan,16202,323667,75098,639196
Wayne,Missouri,,74706,33333,113139
Wells,Indiana,18869,3858354,484661,10250417
