County,State,Temperature
Alameda,California,46
Alpine,California,27.8
Amador,California,42.4
Butte,California,43.9
Calaveras,California,42.7
Colusa,California,45.4
Contra Costa,California,45.8
Del Norte,California,38.8
El Dorado,California,38.8
Fresno,California,37.6
Glenn,California,44.7
Humboldt,California,40.1
Imperial,California,52.9
Inyo,California,40.3
Kern,California,42.8
Kings,California,43.7
Lake,California,43.1
Lassen,California,28.1
Los Angeles,California,47.7
Madera,California,38.6
Marin,California,47.5
Mariposa,California,39.1
Mendocino,California,41.9
Merced,California,43.9
Modoc,California,28.5
Mono,California,26.1
Monterey,California,45
Napa,California,45.4
Nevada,California,37
Orange,California,54.6
Placer,California,37.8
Plumas,California,31.2
Riverside,California,49.5
Sacramento,California,44.9
San Benito,California,43.5
San Bernardino,California,45.6
San Diego,California,48.5
San Francisco,California,48.6
San Joaquin,California,44.9
San Luis Obispo,California,45.2
San Mateo,California,47.2
Santa Barbara,California,47.1
Santa Clara,California,44.9
Santa Cruz,California,46.4
Shasta,California,39.7
Sierra,California,31.6
Siskiyou,California,33.5
Solano,California,45.7
Sonoma,California,46.1
Stanislaus,California,43.9
Sutter,California,45.5
Tehama,California,43.5
Trinity,California,36.9
Tulare,California,36.3
Tuolumne,California,35
Ventura,California,45.6
Yolo,California,45.7
Yuba,California,44.4
Adams,Illinois,29.5
Alexander,Illinois,36.9
Bond,Illinois,33
Boone,Illinois,25.5
Brown,Illinois,29.6
Bureau,Illinois,26.1
Calhoun,Illinois,32.5
Carroll,Illinois,25.6
Cass,Illinois,30.1
Champaign,Illinois,29.6
Christian,Illinois,31.3
Clark,Illinois,32.5
Clay,Illinois,33.8
Clinton,Illinois,33.9
Coles,Illinois,31.3
Cook,Illinois,28.6
Crawford,Illinois,33.9
Cumberland,Illinois,32.3
DeKalb,Illinois,25.9
De Witt,Illinois,29.4
Douglas,Illinois,30.9
DuPage,Illinois,27.4
Edgar,Illinois,31.7
Edwards,Illinois,35.3
Effingham,Illinois,32.9
Fayette,Illinois,33
Ford,Illinois,29.3
Franklin,Illinois,34.7
Fulton,Illinois,28.1
Gallatin,Illinois,36.7
Greene,Illinois,32.1
Grundy,Illinois,28.4
Hamilton,Illinois,35.1
Hancock,Illinois,28.7
Hardin,Illinois,36.8
Henderson,Illinois,26.8
Henry,Illinois,26
Iroquois,Illinois,29.3
Jackson,Illinois,35.3
Jasper,Illinois,33.6
Jefferson,Illinois,34.5
Jersey,Illinois,32.7
Jo Daviess,Illinois,24.4
Johnson,Illinois,36
Kane,Illinois,26.2
Kankakee,Illinois,28.8
Kendall,Illinois,27.4
Knox,Illinois,26.4
Lake,Illinois,27
LaSalle,Illinois,27.5
Lawrence,Illinois,35.1
Lee,Illinois,25.8
Livingston,Illinois,28.5
Logan,Illinois,29.7
McDonough,Illinois,27.8
McHenry,Illinois,25.7
McLean,Illinois,29
Macon,Illinois,30.2
Macoupin,Illinois,32
Madison,Illinois,33.6
Marion,Illinois,33.8
Marshall,Illinois,27.3
Mason,Illinois,29.5
Massac,Illinois,36.8
Menard,Illinois,30.2
Mercer,Illinois,25.7
Monroe,Illinois,35.2
Montgomery,Illinois,31.8
Morgan,Illinois,31
Moultrie,Illinois,30.9
Ogle,Illinois,25.6
Peoria,Illinois,27.6
Perry,Illinois,34.7
Piatt,Illinois,29.8
Pike,Illinois,30.9
Pope,Illinois,36.2
Pulaski,Illinois,37.1
Putnam,Illinois,27.3
Randolph,Illinois,35.6
Richland,Illinois,34.4
Rock Island,Illinois,25.6
St. Clair,Illinois,34.9
Saline,Illinois,36
Sangamon,Illinois,30.8
Schuyler,Illinois,28.9
Scott,Illinois,31.4
Shelby,Illinois,31.8
Stark,Illinois,26.5
Stephenson,Illinois,25
Tazewell,Illinois,29.2
Union,Illinois,36.2
Vermilion,Illinois,29.9
Wabash,Illinois,36
Warren,Illinois,26.3
Washington,Illinois,34.3
Wayne,Illinois,34.7
White,Illinois,35.9
Whiteside,Illinois,25.9
Will,Illinois,28.4
Williamson,Illinois,35.4
Winnebago,Illinois,25.7
Woodford,Illinois,28.5
Adams,Indiana,30.9
Allen,Indiana,29.8
Bartholomew,Indiana,34.7
Benton,Indiana,29.3
Blackford,Indiana,31.3
Boone,Indiana,30.2
Brown,Indiana,33.8
Carroll,Indiana,29.9
Cass,Indiana,30
Clark,Indiana,36.2
Clay,Indiana,32.9
Clinton,Indiana,30.1
Crawford,Indiana,36.5
Daviess,Indiana,34.5
Dearborn,Indiana,35
Decatur,Indiana,33.8
DeKalb,Indiana,29
Delaware,Indiana,31.7
Dubois,Indiana,35.7
Elkhart,Indiana,29
Fayette,Indiana,32.7
Floyd,Indiana,36.1
Fountain,Indiana,30.7
Franklin,Indiana,34.1
Fulton,Indiana,29.6
Gibson,Indiana,36.3
Grant,Indiana,31.2
Greene,Indiana,33.4
Hamilton,Indiana,31.9
Hancock,Indiana,32.4
Harrison,Indiana,36.5
Hendricks,Indiana,31
